Słowo angielskie,Tłumaczenie
abandon,"porzucić, opuścić, zostawić"
abandoned,"porzucony, opuszczony"
abolish,"znieść, zlikwidować"
absence,"nieobecność, brak"
absolute,"kompletny, totalny, całkowity, absolutny"
absorb,"wchłaniać, absorbować"
absorb,"przyswajać, chłonąć (informacje, wiedzę)"
absorb,"absorbować, zajmować uwagę, pochłaniać czas"
abstract,abstrakcyjny
absurd,absurdalny
abuse,nadużywać
abuse,"znęcanie się, przemoc, maltretowanie"
academic,"akademicki, uniwersytecki, naukowy"
access,"mieć/uzyskać dostęp do czegoś, dotrzeć do"
accessible,"osiągalny, dostępny"
accidental,"przypadkowy, niezamierzony, nieumyślny"
accordion,akordeon
account,"relacja, sprawozdanie"
accounting,"rachunkowość, księgowość"
accuracy,dokładność
accuse,oskarżyć
ache,boleć
acid,kwas
acquire,"nabyć, posiąść, przyswoić, zdobyć (umiejętności, wiedzę, itp.)"
acquire,"nabyć, wejść w posiadanie"
action,działanie
actively,"aktywnie, czynnie"
activity,działalność
actual,"rzeczywisty, faktyczny"
adapt,"przystosować się, zaadaptować się, dostosować się"
addict,"nałogowiec, osoba uzależniona, narkomanka, narkoman"
addicted,uzależniony
addiction,"uzależnienie, nałóg"
addition,dodawanie
additional,dodatkowy
additionally,dodatkowo
adequate,"dostateczny, wystarczający"
adequately,"odpowiednio, adekwatnie, właściwie"
adjust,"przystosować się, przyzwyczaić się"
adjust,"regulować, poprawić, korygować"
adjustment,"dopasowanie, regulacja, dostrojenie"
administration,administracja
admiration,"podziw, uznanie"
admire,"podziwiać, szanować"
admission,"przyjęcie (do szpitala, szkoły, klubu)"
admit,przyjąć
admittedly,"wprawdzie, istotnie, co prawda"
adopt,adoptować
adopt,"przyjąć, przybrać"
adopted,adoptowany
adoption,adopcja
advance,"posuwać (się) do przodu, robić postępy"
advance,"osiągnięcie, postęp"
adventurous,"śmiały, odważny, żądny przygód"
advertising,reklama
affair,romans
affect,"wzruszyć, poruszyć"
affect,"wpływać, oddziaływać, dotyczyć"
affection,czułość
affectionate,czuły
age,"starzeć się, postarzać (się)"
agent,"agent, pośrednik"
aggressive,agresywny
aggressively,agresywnie
agreement,"zgoda, porozumienie"
agriculture,rolnictwo
aid,pomoc
aim,celować
aircraft,samolot
aisle,alejka; przejście
alcoholism,alkoholizm
alien,"obcy, kosmita, istota pozaziemska"
alike,"jednakowo, podobnie"
allergy,alergia
alley,"uliczka, alejka, ścieżka, zaułek"
alligator,aligator
alphabetical,alfabetyczny
alphabetically,alfabetycznie
alter,"przerobić, zmienić"
alternative,"alternatywa, wybór, wyjście"
alternative,"alternatywny (inny, zastępczy)"
alternatively,"ewentualnie, alternatywnie"
aluminium,aluminium
amazement,"zdumienie, osłupienie"
ambassador,ambasador
ambition,ambicja
ambitious,ambitny
amuse,"śmieszyć, bawić"
amuse,"zająć, zainteresować"
amused,rozbawiony
amusement,"rozbawienie, uciecha"
anaconda,anakonda
analyse,analizować
analysis,analiza
analyst,analityk
ancestor,przodek
anger,"złość, gniew"
animal,zwierzęcy (dotyczący zwierząt)
annually,"rocznie, corocznie"
anxiety,"niepokój, obawa"
anxiously,"z niepokojem, z niecierpliwością"
anyhow,"w każdym razie, i tak, tak czy siak, no więc"
apostrophe,apostrof
apparent,"oczywisty, widoczny, wyraźny"
apparently,"najwyraźniej, najwidoczniej"
appeal,pociągać; przemawiać
appeal,"urok, atrakcyjność, atrakcja"
appear,"pojawić się (na rynku, w sprzedaży)"
appearance,"pojawienie się, występ, wystąpienie"
application,aplikacja
appreciate,doceniać
appreciation,"uznanie, docenienie; wdzięczność"
approach,"nadejście, zbliżanie się, podejście, podchodzenie"
approach,"podejście, sposób robienia czegoś"
appropriate,"właściwy, odpowiedni"
appropriately,"właściwie, odpowiednio, stosownie"
approval,"aprobata, akceptacja, zgoda"
approve,"aprobować, pochwalać, akceptować"
approximate,przybliżony
apron,fartuch
arena,arena
arm,uzbroić
armed,"uzbrojony, zbrojny, z bronią w ręku"
arrange,układać
arrest,"aresztowanie, zatrzymanie"
arrogance,arogancja
arrogant,arogancki
arrow,strzała
artificially,sztucznie
artistic,"artystyczny, twórczy"
artistically,artystycznie
aside,"na bok, na boku"
aspect,aspekt
assess,"oceniać, oszacować"
assessment,ocena
assist,"asystować, pomagać"
assistance,"asysta, pomoc"
association,"zrzeszenie, stowarzyszenie"
association,związek
assume,zakładać
assure,"zapewnić, uspokoić"
astonished,zdumiony
astonishing,zdumiewający
astonishment,zdumienie
athletic,"atletyczny, wysportowany"
atmosphere,atmosfera
atmosphere,"atmosfera, powietrze"
atom,atom
atomic,atomowy
attached,"przywiązany (do kogoś, czegoś)"
attachment,załącznik
attempt,"próba, podejście"
attic,"strych, poddasze"
attract,pociągać kogoś
attraction,atrakcja
aubergine,"bakłażan, oberżyna"
authority,"moc, władza; upoważnienie, uprawnienie"
automatic,automatyczny
automatically,automatycznie
availability,dostępność
avoid,"unikać, omijać"
award,"przyznać, wręczyć (nagrodę, medal)"
award,nagroda
aware,świadomy
awkwardly,"niezręcznie, z zakłopotaniem; niezgrabnie, z trudnością"
bachelor,kawaler
background,tło
background,"kontekst, tło"
background,drugoplanowy
backup,kopia zapasowa
bad,"zepsuty, nieświeży"
bad-tempered,wybuchowy; łatwo wpadający w zdenerwowanie
badge,"odznaka, plakietka"
bag,"włożyć do torby, zapakować"
bakery,piekarnia
balance,"utrzymać równowagę, balansować"
balance,"zbilansować, zrównoważyć, godzić"
balance,równowaga
balanced,"zrównoważony, zbilansowany"
ban,"zabronić, zakazać"
ban,zakaz
bang,"huk, uderzenie, trzask"
bang,"uderzyć, walnąć"
banker,"bankier, bankowiec"
banking,bankowość
bare,"goły, bosy, odkryty"
barely,"ledwo, prawie wcale, zaledwie"
bark,szczekać
bark,kora
barrier,"barierka, szlaban"
base,"podstawa, baza"
base,"opierać, bazować"
basement,"piwnica, suterena"
basically,"w zasadzie, zasadniczo; z gruntu, fundamentalnie"
basil,bazylia
basis,"punkt wyjścia, podstawa"
beam,"promień, snop, wiązka światła"
bear,"tolerować, znosić"
beast,bestia
beat,"rytm, takt"
beat,bić
beat,"bicie serca, tętno"
beetle,chrząszcz
beg,błagać
beg,żebrać
belief,"wierzenie, pogląd, przekonanie"
belong,"mieć swoje miejsce, pasować (do grupy)"
belongings,"mienie, rzeczy"
bench,ławka
bend,"zakrzywić (się), zakręcić, wygiąć (się)"
bend,zakręt; zgięcie
bend,"zginać (się, część ciała), schylać się"
beneath,"poniżej, pod"
beneficial,"korzystny, pozytywny"
benefit,skorzystać; przynieść korzyść
berry,jagoda
bestseller,bestseller
bet,"zakładać (się), robić zakład, obstawiać"
betray,zdradzić
bikini,bikini
bill,"obciążyć, wystawić rachunek"
billion,miliard
biological,biologiczny
bite,kęs
bite,ukąszenie; ugryzienie
bitter,"rozgoryczony, gorzki, zgorzkniały"
bitterly,"gorzko, z goryczą; zażarcie, zaciekle"
bizarre,"dziwaczny, dziwny, kuriozalny"
blackberry,jeżyna
blackcurrant,czarna porzeczka
blade,ostrze
blank,"puste miejsce, luka"
blind,"roleta, żaluzja"
blink,mrugać
block,"zablokować, zatarasować, zastawić"
