Słowo angielskie,Tłumaczenie
a,
a.m.,rano
about,około
about,o
above,"nad, powyżej, ponad"
address,adres
address,adres
adult,dorosły
after,po
afternoon,popołudnie
again,"znowu, ponownie, jeszcze raz"
age,wiek
airplane,samolot
all,"wszyscy, wszystkie, wszystko"
all,"wszyscy, wszystkie, wszystek/cały"
also,"też, także, również"
always,zawsze
an,"przedimek nieokreślony, stosowany przed rzeczownikami w l.poj., których wymowa zaczyna się od samogłoski"
and,i; a
animal,zwierzę
answer,odpowiedź
answer,odpowiadać
any,"którykolwiek, jakikolwiek, dowolny"
any,jakiś; żaden
apple,jabłko
April,kwiecień
arm,ramię
as well as,"oraz, jak również"
ask,pytać
at,małpka (w adresie email)
August,sierpień
baby,"małe dziecko, niemowlę, bobas"
bad,"zły, niedobry"
bag,torba
ball,piłka
banana,banan
band,"zespół, grupa"
bank,bank
bar,bar
basketball,koszykówka
bath,kąpiel
bath,wanna
bathroom,łazienka
be,być
beach,plaża
beard,broda (zarost)
beautiful,piękny
because,"bo, ponieważ"
bed,łóżko
bedroom,sypialnia
beer,piwo
before,"przed, zanim"
behind,za
below,pod
below,"niżej, poniżej, na dole"
best,najlepszy
better,lepszy
better,zdrowszy; lepszy (stan zdrowia)
between,"między, pomiędzy"
big,duży
bird,ptak
birthday,urodziny
biscuit,"herbatnik, ciastko"
black,czarny
blue,niebieski
boat,łódź
body,ciało
book,książka
bored,znudzony
boring,nudny
both,"obaj, obie, oboje, oba, obydwa"
box,pudełko
boy,"chłopiec, chłopak"
bread,chleb
breakfast,śniadanie
brother,brat
brown,brązowy
bus,autobus
but,"ale, lecz"
butter,masło
buy,kupować
bye,pa! cześć!
café,"kawiarnia, kafejka"
cake,ciasto
camera,aparat fotograficzny
can,"umieć, potrafić"
can,móc
car,samochód
carry,"nosić, dźwigać"
cat,kot
catch,łapać
CD player,odtwarzacz CD
chair,krzesło
change,"zmienić, zmienić się"
cheap,tani
cheese,ser
child,dziecko
children,dzieci
chip,frytka
chips,frytki
chocolate,czekolada
choose,wybierać
cinema,kino
city,miasto
class,klasa (uczniowie)
class,"zajęcia, lekcja"
classroom,"sala lekcyjna, klasa"
clean,"czyścić, sprzątać"
clean,czysty
clever,"bystry, sprytny"
clock,zegar
close,zamykać
closed,zamknięty
clothes,ubrania
coat,płaszcz
coffee,kawa
Coke,"kola, cola"
cold,zmarznięty
cold,zimny
colour,kolor
colour,"kolorować, zabarwiać (się), farbować"
come,"przyjść, przyjechać"
computer,komputer
conversation,rozmowa
cook,gotować
cook,kucharka/kucharz
country,"kraj, państwo"
course,kurs
cow,krowa
credit card,karta kredytowa
cross,krzyżyk (znaczek)
cup,filiżanka
dad,tata
dance,tańczyć
dance,taniec
dancing,"taniec, tańczenie"
dark,ciemny
date,data
daughter,córka
dear,"drogi, szanowny"
December,grudzień
desk,biurko
dictionary,słownik
die,umrzeć
difficult,trudny
dining room,jadalnia
dinner,obiad
do,robić
do the cleaning,sprzątać
do the cooking,gotować
do the washing,"prać, zrobić pranie"
doctor,lekarka/lekarz
dog,pies
doll,lalka
dollar,dolar
door,drzwi
down,"w dół, na dół, na dole"
draw,rysować
dress,sukienka
drink,napój
drink,pić
drive,"kierować, prowadzić samochód"
driver,kierowca
dry,suchy; bezdeszczowy
each,"każdy, każdorazowy"
ear,ucho
easy,łatwy
eat,jeść
egg,jajko
eight,osiem
eighteen,osiemnaście
eleven,jedenaście
end,koniec
enjoy,"dobrze się czymś bawić, cieszyć się czymś; lubić (coś)"
evening,wieczór
every,każdy
example,przykład
excited,"podekscytowany, podniecony"
exciting,"ekscytujący, fascynujący"
excuse me,"przepraszam (np. gdy musimy komuś przeszkodzić, bo chcemy o coś zapytać)"
expensive,drogi
eye,oko
face,twarz
factory,fabryka
family,rodzina
famous,sławny
farm,farma
fast,szybki; pospieszny
fat,gruby
father,ojciec
favourite,ulubiony
February,luty
feel,czuć (się)
fifteen,piętnaście
film,film
find,znaleźć
fine,"dobry, świetny, w porządku"
finish,kończyć
first,pierwszy
first,najpierw
fish,ryba
fish,ryba
five,pięć
flat,mieszkanie
floor,podłoga
flower,kwiat
fly,"latać, podróżować samolotem"
food,"jedzenie, żywność"
foot,stopa
football,piłka nożna
for,"przez, od (czas, odległość)"
for,dla
four,cztery
fourteen,czternaście
Friday,piątek
friend,"kolega, przyjaciel"
from,z; od
fruit,owoc
fun,"przyjemność, zabawa"
funny,zabawny
game,gra
garden,ogród
get,dostać
get,"dostać się gdzieś, dotrzeć"
get up,wstawać
girl,dziewczyna
give,dawać
glass,szkło
glass,"szklanka, kieliszek"
glasses,okulary
go,"pójść, pojechać"
go out,wychodzić
go shopping,iść na zakupy
good,dobry
good,"dobry, uczynny, serdeczny"
good afternoon,dzień dobry; dobrego dnia (mówione po południu)
good evening,dobry wieczór
good morning,dzień dobry
good night,dobranoc
goodbye,do widzenia
grass,trawa
great,"wspaniały, świetny"
green,zielony
grey,"szary, siwy"
group,grupa
guitar,gitara
hair,włosy
half past,"pół godziny po, wpół do"
hand,"dłoń, ręka"
happy,"zadowolony, szczęśliwy"
hard,"trudny, ciężki"
hard,"ciężko, mocno; agresywnie, siłowo"
hat,kapelusz
have,mieć
he,on
head,głowa
hear,słyszeć
hello,cześć; halo
help,pomagać
her,jej; ją; nią
here,"tu, tutaj"
hers,jej
hi,cześć
him,"go, nim, niego"
his,jego
holiday,wakacje
home,dom
home,"kraj rodzinny, ojczyzna"
homework,praca domowa
horse,koń
hospital,szpital
hot,gorący
hot,zgrzany
hotel,hotel
hour,godzina
house,dom (budynek)
hungry,głodny
husband,mąż
I,ja
ice cream,lody
important,ważny
in,w
interesting,interesujący
Internet,internet
into,do
invite,zaprosić
its,"jego, jej, swój, swoje"
January,styczeń
jeans,dżinsy
job,"praca, zawód"
juice,sok
July,lipiec
June,czerwiec
key,klucz
kick,kopać
kind,"rodzaj, typ"
kitchen,kuchnia
knife,nóż
late,"późny, spóźniony"
late,późno
learn,uczyć się
leave,"wyjechać, odjechać; odejść, wyjść"
leg,noga
lesson,lekcja
letter,list
light,jasny
like,"lubić, podobać się"
listen,słuchać
little,"mały, młodszy"
living room,"pokój dzienny, salon"
long,długi
look,patrzeć
lots / a lot,"dużo, mnóstwo, pełno"
love,miłość
love,"kochać, uwielbiać"
lunch,lunch
make,"robić, wykonywać"
man,mężczyzna
many,"wiele, dużo"
March,marzec
May,maj
me,"mnie, mi, mną"
meal,posiłek
meat,mięso
meet,"spotkać, wpaść na kogoś"
meet,poznać
meet,"spotkać się, spędzać razem czas"
message,wiadomość
milk,mleko
minute,minuta
Miss,Panna (do tytułowania niezamężnych kobiet)
mobile,komórka (telefon komórkowy)
mobile phone,telefon komórkowy
mom,mama (AmE)
Monday,poniedziałek
money,pieniądze
month,miesiąc
morning,poranek
mother,"matka, mama"
mouth,usta
movie,film
Mr,Pan
Mrs,Pani
much,dużo
mum,mama
museum,muzeum
music,muzyka
my,"mój, moja, moje"
name,"nazwa, imię, nazwisko"
nationality,"narodowość, obywatelstwo"
near,"blisko, w pobliżu, niedaleko"
need,potrzebować
never,nigdy
new,nowy
newspaper,gazeta
next,następny
nice,miły
night,noc
nine,dziewięć
nineteen,dziewiętnaście
no,żaden
noise,"hałas; dźwięk, odgłos"
nose,nos
not,nie
note,"notatka, kartka"
November,listopad
now,teraz
number,"liczba, numer"
o'clock,godzina (dodatek do liczebnika przy pełnej godzinie)
October,październik
of,"używane do wskazania zawartości, ilości, właściwości"
of,używane do wskazania przynależności (czyj? kogo? czego?)
of course,oczywiście
often,często
oh,"oj, ojej, och; o"
OK / okay,"okej, dobrze, zgoda, w porządku"
old,stary
old,stary
on,na
one,jeden
only,tylko
only,jedyny
open,"otwarty, czynny"
open,otwierać
or,"czy, albo, lub"
orange,pomarańcza
orange,pomarańczowy
orange juice,sok pomarańczowy
other,"inny, inna, inne, inni"
our,"nasz, nasza, nasze"
out,"na dworze, na zewnątrz"
p.m.,po południu
page,strona
paint,malować
paint,malować
paper,papier
pardon,słucham?
parent,rodzic
parents,rodzice
park,park
part,"część, kawałek, fragment"
party,"przyjęcie, impreza"
pay,płacić
pen,długopis
pencil,ołówek
pencil case,piórnik
people,ludzie
person,osoba
pet,zwierzę domowe
phone,"dzwonić, telefonować"
phone,telefon
photo,zdjęcie
picnic,piknik
picture,"zdjęcie, obrazek"
pig,świnia
pizza,pizza
place,miejsce
plane,samolot
plant,roślina
plate,talerz
play,grać
play,bawić się
player,gracz
please,proszę; poproszę (chętnie)
possible,możliwy
post,poczta
potato,ziemniak
practise,"ćwiczyć, trenować"
price,cena
problem,"kłopot, problem"
put,"kłaść, położyć"
quarter,kwadrans
quick,szybki
radio,"radio, odbiornik radiowy"
rain,deszcz
rain,padać (o deszczu)
read,czytać
reading,"czytanie, lektura"
ready,gotowy
really,"bardzo, naprawdę"
red,czerwony
remember,"pamiętać, przypomnieć sobie"
restaurant,restauracja
rice,ryż
ride,"jeździć (np. na rowerze, skuterze, motorze, konno)"
right,"poprawny, prawidłowy, dobry; mający rację"
river,rzeka
road,droga
room,"pokój, pomieszczenie"
run,biegać
sad,smutny
salt,sól
sandwich,kanapka
Saturday,sobota
say,"powiedzieć, mówić"
school,szkoła
sea,morze
second,drugi
see,"widzieć, zobaczyć"
see,"spotkać, widzieć się z kimś"
send,wysyłać
sentence,zdanie
September,wrzesień
seven,siedem
seventeen,siedemnaście
she,ona
sheep,owca
shirt,koszula
shoe,but
shop,sklep
shopping,zakupy
short,krótki
short,niski
short,krótki
